winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
4,1,N.V.,4.7,42,0,9,114.28,2,5.0,1.0
22,26,N.V.,4.7,41,0,8,95.57,8,4.0,3.0
29,53,2018,4.7,41,0,1,93.95,1,5.0,3.0
38,31,2012,4.7,40,0,11,248.0,5,5.0,3.0
5,60,1995,4.7,39,0,15,397.0,9,4.0,2.0
34,46,2011,4.7,35,0,3,65.05,0,2.0,3.0
11,50,2019,4.7,33,0,2,86.9,9,4.0,2.0
43,40,2004,4.7,32,0,11,472.5,5,5.0,3.0
37,57,2010,4.7,31,0,4,379.0,4,4.0,3.0
17,23,2001,4.7,31,0,11,185.15,5,5.0,3.0
43,44,1998,4.7,30,0,11,94.2,5,5.0,3.0
28,28,2018,4.7,29,0,13,46.0,6,4.0,3.0
3,25,2016,4.7,28,0,10,919.6,3,4.0,3.0
25,8,1942,4.7,27,0,12,680.0,6,4.0,3.0
42,58,2011,4.6,6803,0,11,218.0,5,5.0,3.0
42,58,2012,4.6,5938,0,11,177.0,5,5.0,3.0
42,58,2008,4.6,5545,0,11,187.3,5,5.0,3.0
42,58,2007,4.6,5116,0,11,195.59,5,5.0,3.0
42,58,2013,4.6,4747,0,11,135.0,5,5.0,3.0
42,58,2009,4.6,4685,0,11,225.2,5,5.0,3.0
1,48,2016,4.6,4516,0,11,79.8,5,5.0,3.0
0,36,2017,4.6,3383,0,11,116.1879436,5,5.0,3.0
0,36,2018,4.6,3239,0,11,89.3,5,5.0,3.0
25,8,2010,4.6,2416,0,12,438.9,6,4.0,3.0
1,48,2017,4.6,2208,0,11,79.9,5,5.0,3.0
42,58,2004,4.6,1608,0,11,249.0,5,5.0,3.0
19,22,2018,4.6,1363,0,11,129.95,5,5.0,3.0
0,36,2019,4.6,1108,0,11,76.95,5,5.0,3.0
42,58,2000,4.6,1015,0,11,252.0,5,5.0,3.0
42,58,2002,4.6,936,0,11,232.0,5,5.0,3.0
8,49,2012,4.6,840,0,14,214.0,10,5.0,3.0
8,49,2011,4.6,790,0,14,205.0,10,5.0,3.0
15,37,2015,4.6,700,0,11,49.95,5,5.0,3.0
21,33,2011,4.6,693,0,11,125.0,5,5.0,3.0
42,58,1999,4.6,595,0,11,276.8,5,5.0,3.0
21,34,2015,4.6,516,0,11,75.0,5,5.0,3.0
19,41,2010,4.6,410,0,11,1359.75,5,5.0,3.0
31,12,2010,4.6,405,0,11,81.5,5,5.0,3.0
19,41,2012,4.6,400,0,11,890.0,5,5.0,3.0
20,20,2015,4.6,388,0,14,43.5,10,5.0,3.0
21,33,2015,4.6,369,0,11,99.0,5,5.0,3.0
19,41,2013,4.6,323,0,11,1198.72,5,5.0,3.0
11,50,2015,4.6,313,0,2,94.95,9,4.0,2.0
11,50,2016,4.6,304,0,2,89.0,9,4.0,2.0
19,41,2005,4.6,293,0,11,1785.96,5,5.0,3.0
44,30,2017,4.6,286,0,12,108.21,6,4.0,3.0
5,60,2006,4.6,274,0,15,391.5,9,4.0,2.0
19,41,1998,4.6,244,0,11,1350.0,5,5.0,3.0
12,9,2007,4.6,242,0,12,145.0,6,4.0,3.0
12,9,2012,4.6,231,0,12,173.38,6,4.0,3.0
7,11,2011,4.6,225,0,12,220.0,6,4.0,3.0
25,13,2017,4.6,222,0,12,85.7,6,4.0,3.0
42,55,1965,4.6,218,0,11,2884.04,5,5.0,3.0
36,21,2015,4.6,214,0,12,79.9,6,4.0,3.0
43,38,2018,4.6,211,0,11,68.7,5,5.0,3.0
19,41,2003,4.6,205,0,11,1638.95,5,5.0,3.0
